問	196	问	wèn	ask	ask (about), inquire after	とう とん	モン ブン	[sound:agj-pinyin-wen4.mp3]	39
生	197		shēng	life	life, living, lifetime; birth	はえる おう うまれる	セイ ショウ	[sound:agj-pinyin-sheng1.mp3]	40
提	199		tí	bring up	hold in hand; lift in hand	さげる	テイ ダイ	[sound:agj-pinyin-ti2.mp3]	41
下	201		xià	below	under, underneath, below; down; inferior; bring down	した しも もと	カ ゲ	[sound:agj-pinyin-xia4.mp3]	42
過	204	过	guò	cross	pass, pass through, go across	すぎる あやまつ とが	カ	[sound:agj-pinyin-guo4.mp3]	43
員	206	员	yuán	employee	member; personnel, staff member	かず	イン エン	[sound:agj-pinyin-yuan2.mp3]	345
圓	207	圆	yuán	round	circle; round, circular; complete	まるい	エン	[sound:agj-pinyin-yuan2.mp3]	1126
青	209		qīng	blue or green	blue, green, black; young	あお あおい	セイ ショウ	[sound:agj-pinyin-qing1.mp3]	689
請	210	请	qǐng	invite	ask, request; invite; please	こう うける こい	セイ ショウ シン	[sound:agj-pinyin-qing3.mp3]	44
們	211	们	men	(plural)	adjunct pronoun indicate plural	ともがら	モン	[sound:agj-pinyin-men1.mp3]	45
天	212		tiān	heavens	sky, heaven; god, celestial	あめ そら	テン	[sound:agj-pinyin-tian1.mp3]	46
戶	214	户	hù	door	door; family, household	と へ	コ	[sound:agj-pinyin-hu4.mp3]	1368
斤	215		jīn	catty	a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69	おの	キン	[sound:agj-pinyin-jin1.mp3]	2379
所	217		suǒ	place	place, location; numerary adjunct	ところ	ショ ソ	[sound:agj-pinyin-suo3.mp3]	47
夕	218		xī	evening	evening, night, dusk; slanted	ゆう ゆうべ	セキ	[sound:agj-pinyin-xi1.mp3]	1754
多	219		duō	many	much, many; more than, over	おおい まさる まさに	タ	[sound:agj-pinyin-duo1.mp3]	48
林	220		lín	woods	forest, grove; surname	はやし	リン	[sound:agj-pinyin-lin2.mp3]	321
麻	221		má	hemp	hemp, jute, flax; sesame	あさ	マ バ	[sound:agj-pinyin-ma2.mp3]	898
麼	222	么	me	(suffix)	interrogative final particle; insignificant, small, tiny	こまかい かすか	マ バ	[sound:agj-pinyin-me1.mp3]	49
之	223		zhī	of	marks preceding phrase as modifier of following phrase; it, him her, them; go to	ゆく これ の	シ	[sound:agj-pinyin-zhi1.mp3]	51
相	224		xiāng	one another	mutual, reciprocal, each other	あい みる たすける	ショウ ソウ	[sound:agj-pinyin-xiang1.mp3]	160
想	225		xiǎng	think	think, speculate, plan, consider	おもう おもい	ソウ ソ	[sound:agj-pinyin-xiang3.mp3]	52
旦	226		dàn	daybreak	dawn; morning; day	あした	タン	[sound:agj-pinyin-dan4.mp3]	1629
得	227		dé	must	obtain, get, gain, acquire	える うる	トク	[sound:agj-pinyin-de2.mp3]	53
工	228		gōng	work	labor, work; worker, laborer	たくみ わざ つかさ	コウ ク	[sound:agj-pinyin-gong1.mp3]	54
